Job Name,Count
[],412
['vve'],71
['ménagère'],36
['couturière'],35
['menuisier'],34
['veuve'],33
['jardinier'],29
['maçon'],29
"['domestique,']",26
['man.'],24
['manœuvre'],24
['peintre'],21
['agriculteur'],20
['rentière'],20
['mécanicien'],18
['serrurier'],18
"['employé,']",17
['cordonnier'],16
['journalier'],16
['étudiant'],15
['chauffeur'],14
['représentant'],14
['étud'],14
['charpentier'],13
['cuisinière'],13
['ferblantier'],13
['ébéniste'],13
['boulanger'],12
['coiffeur'],12
['man'],12
['comptable'],11
['professeur'],11
['typographe'],11
['employé'],10
['vendeuse'],10
['cafetier'],9
['horloger'],9
['institutrice'],9
"['manœuvre,']",9
['sommelière'],9
['typo'],9
['boucher'],8
['magasinier'],8
['rentier'],8
['repasseuse'],8
['tapissier'],8
['épicerie'],8
"['étudiant,']",8
['charron'],7
['employé postal'],7
['imprimeur'],7
['lingère'],7
['religieuse'],7
['architecte'],6
['commerçant'],6
['concierge'],6
['coutur.'],6
['emp. bur'],6
['journalière'],6
['modiste'],6
['monteur'],6
['pasteur'],6
['portier'],6
['tailleur'],6
['technicien'],6
['vigneron'],6
"['empi, banque']",5
"['empi, postal']",5
['instituteur'],5
['laitier'],5
['musicien'],5
['mécan.'],5
['pension'],5
['plâtrier'],5
['vend'],5
['blanchisseuse'],4
['bûcheron'],4
['carrossier'],4
['charretier'],4
['demoiselle de magasin'],4
['domestique'],4
['emp. comm'],4
"['empi, bur.']",4
"['empi, bureau']",4
"['empi, de bureau']",4
['employé trams'],4
['entrepreneur'],4
['ingénieur'],4
"['journalière,']",4
['maréchal'],4
['médecin'],4
['relieur'],4
['rent'],4
['tailleur de pierres'],4
['vendeur'],4
['électricien'],4
['agent de police'],3
['ancien pasteur'],3
['camionneur'],3
['charcutier'],3
['cimenteur'],3
['coiffeuse'],3
"['commis,']",3
['commissionnaire'],3
['confiseur'],3
['dessinateur'],3
"['empi, de comm']",3
"['employéj.-s.,']",3
['garagiste'],3
['machiniste'],3
['menuis'],3
['mécanic.'],3
['mén.'],3
['négociant'],3
['ouvr. de ville'],3
['parqueteur'],3
['paveur'],3
['pharmacien'],3
['photogr.'],3
"['prof', '.']",3
['retraité'],3
['secrétaire'],3
['sommel'],3
"['sténo', 'dactylo']",3
['tanneur'],3
['terrassier'],3
['tonnelier'],3
['vannier'],3
['épicier'],3
['appareilleur'],2
['avocat'],2
['batelier'],2
['brosseur'],2
['caissier'],2
['carreleur'],2
['commis postal'],2
['cuisin'],2
['cuisinier'],2
